label,v1,v2,v3,v4
alearn,5.1,3.5,1.4,0.2
alearn,4.9,3.0,1.4,0.2
alearn,4.7,3.2,1.3,0.2
alearn,4.6,3.1,1.5,0.2
alearn,5.0,3.6,1.4,0.2
alearn,5.4,3.9,1.7,0.4
alearn,4.6,3.4,1.4,0.3
alearn,5.0,3.4,1.5,0.2
alearn,4.4,2.9,1.4,0.2
alearn,4.9,3.1,1.5,0.1
alearn,5.4,3.7,1.5,0.2
alearn,4.8,3.4,1.6,0.2
alearn,4.8,3.0,1.4,0.1
alearn,4.3,3.0,1.1,0.1
alearn,5.8,4.0,1.2,0.2
alearn,5.7,4.4,1.5,0.4
alearn,5.4,3.9,1.3,0.4
alearn,5.1,3.5,1.4,0.3
alearn,5.7,3.8,1.7,0.3
alearn,5.1,3.8,1.5,0.3
aexam,5.4,3.4,1.7,0.2
aexam,5.1,3.7,1.5,0.4
aexam,4.6,3.6,1.0,0.2
aexam,5.1,3.3,1.7,0.5
aexam,4.8,3.4,1.9,0.2
aexam,5.0,3.0,1.6,0.2
aexam,5.0,3.4,1.6,0.4
aexam,5.2,3.5,1.5,0.2
aexam,5.2,3.4,1.4,0.2
aexam,4.7,3.2,1.6,0.2
aexam,4.8,3.1,1.6,0.2
aexam,5.4,3.4,1.5,0.4
aexam,5.2,4.1,1.5,0.1
aexam,5.5,4.2,1.4,0.2
aexam,4.9,3.1,1.5,0.2
aexam,5.0,3.2,1.2,0.2
aexam,5.5,3.5,1.3,0.2
aexam,4.9,3.6,1.4,0.1
aexam,4.4,3.0,1.3,0.2
aexam,5.1,3.4,1.5,0.2
aexam,5.0,3.5,1.3,0.3
aexam,4.5,2.3,1.3,0.3
aexam,4.4,3.2,1.3,0.2
aexam,5.0,3.5,1.6,0.6
aexam,5.1,3.8,1.9,0.4
aexam,4.8,3.0,1.4,0.3
aexam,5.1,3.8,1.6,0.2
aexam,4.6,3.2,1.4,0.2
aexam,5.3,3.7,1.5,0.2
aexam,5.0,3.3,1.4,0.2
blearn,7.0,3.2,4.7,1.4
blearn,6.4,3.2,4.5,1.5
blearn,6.9,3.1,4.9,1.5
blearn,5.5,2.3,4.0,1.3
blearn,6.5,2.8,4.6,1.5
blearn,5.7,2.8,4.5,1.3
blearn,6.3,3.3,4.7,1.6
blearn,4.9,2.4,3.3,1.0
blearn,6.6,2.9,4.6,1.3
blearn,5.2,2.7,3.9,1.4
blearn,5.0,2.0,3.5,1.0
blearn,5.9,3.0,4.2,1.5
blearn,6.0,2.2,4.0,1.0
blearn,6.1,2.9,4.7,1.4
blearn,5.6,2.9,3.6,1.3
blearn,6.7,3.1,4.4,1.4
blearn,5.6,3.0,4.5,1.5
blearn,5.8,2.7,4.1,1.0
blearn,6.2,2.2,4.5,1.5
blearn,5.6,2.5,3.9,1.1
bexam,5.9,3.2,4.8,1.8
bexam,6.1,2.8,4.0,1.3
bexam,6.3,2.5,4.9,1.5
bexam,6.1,2.8,4.7,1.2
bexam,6.4,2.9,4.3,1.3
bexam,6.6,3.0,4.4,1.4
bexam,6.8,2.8,4.8,1.4
bexam,6.7,3.0,5.0,1.7
bexam,6.0,2.9,4.5,1.5
bexam,5.7,2.6,3.5,1.0
bexam,5.5,2.4,3.8,1.1
bexam,5.5,2.4,3.7,1.0
bexam,5.8,2.7,3.9,1.2
bexam,6.0,2.7,5.1,1.6
bexam,5.4,3.0,4.5,1.5
bexam,6.0,3.4,4.5,1.6
bexam,6.7,3.1,4.7,1.5
bexam,6.3,2.3,4.4,1.3
bexam,5.6,3.0,4.1,1.3
bexam,5.5,2.5,4.0,1.3
bexam,5.5,2.6,4.4,1.2
bexam,6.1,3.0,4.6,1.4
bexam,5.8,2.6,4.0,1.2
bexam,5.0,2.3,3.3,1.0
bexam,5.6,2.7,4.2,1.3
bexam,5.7,3.0,4.2,1.2
bexam,5.7,2.9,4.2,1.3
bexam,6.2,2.9,4.3,1.3
bexam,5.1,2.5,3.0,1.1
bexam,5.7,2.8,4.1,1.3
clearn,6.3,3.3,6.0,2.5
clearn,5.8,2.7,5.1,1.9
clearn,7.1,3.0,5.9,2.1
clearn,6.3,2.9,5.6,1.8
clearn,6.5,3.0,5.8,2.2
clearn,7.6,3.0,6.6,2.1
clearn,4.9,2.5,4.5,1.7
clearn,7.3,2.9,6.3,1.8
clearn,6.7,2.5,5.8,1.8
clearn,7.2,3.6,6.1,2.5
clearn,6.5,3.2,5.1,2.0
clearn,6.4,2.7,5.3,1.9
clearn,6.8,3.0,5.5,2.1
clearn,5.7,2.5,5.0,2.0
clearn,5.8,2.8,5.1,2.4
clearn,6.4,3.2,5.3,2.3
clearn,6.5,3.0,5.5,1.8
clearn,7.7,3.8,6.7,2.2
clearn,7.7,2.6,6.9,2.3
clearn,6.0,2.2,5.0,1.5
cexam,6.9,3.2,5.7,2.3
cexam,5.6,2.8,4.9,2.0
cexam,7.7,2.8,6.7,2.0
cexam,6.3,2.7,4.9,1.8
cexam,6.7,3.3,5.7,2.1
cexam,7.2,3.2,6.0,1.8
cexam,6.2,2.8,4.8,1.8
cexam,6.1,3.0,4.9,1.8
cexam,6.4,2.8,5.6,2.1
cexam,7.2,3.0,5.8,1.6
cexam,7.4,2.8,6.1,1.9
cexam,7.9,3.8,6.4,2.0
cexam,6.4,2.8,5.6,2.2
cexam,6.3,2.8,5.1,1.5
cexam,6.1,2.6,5.6,1.4
cexam,7.7,3.0,6.1,2.3
cexam,6.3,3.4,5.6,2.4
cexam,6.4,3.1,5.5,1.8
cexam,6.0,3.0,4.8,1.8
cexam,6.9,3.1,5.4,2.1
cexam,6.7,3.1,5.6,2.4
cexam,6.9,3.1,5.1,2.3
cexam,5.8,2.7,5.1,1.9
cexam,6.8,3.2,5.9,2.3
cexam,6.7,3.3,5.7,2.5
cexam,6.7,3.0,5.2,2.3
cexam,6.3,2.5,5.0,1.9
cexam,6.5,3.0,5.2,2.0
cexam,6.2,3.4,5.4,2.3
cexam,5.9,3.0,5.1,1.8

